30^"32,1"^"CTL/Set Instance ID Request/Instance"^50900^-1^0
35^"1,17"^"WDS/Event Report/RX Packet Successes"^50014^-1
35^"1,18"^"WDS/Event Report/TX Packet Errors"^50015^-1
35^"1,19"^"WDS/Event Report/RX Packet Errors"^50016^-1
35^"1,20"^"WDS/Event Report/TX Overflows"^50017^-1
35^"1,21"^"WDS/Event Report/RX Overflows"^50018^-1
35^"1,22"^"WDS/Event Report/Channel Rates"^50019^-1
35^"1,23"^"WDS/Event Report/Data Bearer Technology"^50020^-1
35^"1,24"^"WDS/Event Report/Dormancy Status"^50042^-1
35^"1,25"^"WDS/Event Report/TX Bytes"^50054^-1
35^"1,26"^"WDS/Event Report/RX Bytes"^50055^-1
35^"1,27"^"WDS/Event Report/MIP Status"^50088^-1
35^"1,29"^"WDS/Event Report/Current Data Bearer Technology"^50090^-1
35^"34,1"^"WDS/Packet Service Status Report/Status"^50030^-1
35^"34,16"^"WDS/Packet Service Status Report/Call End Reason"^50043^-1
35^"34,17"^"WDS/Packet Service Status Report/Verbose Call End Reason"^50098^-1
35^"54,1"^"WDS/Modem Status Report/Status"^50050^-1
35^"54,16"^"WDS/Modem Status Report/Call End Reason"^50049^-1
35^"56,16"^"WDS/Modem Info Report/Status"^50050^-1
35^"56,17"^"WDS/Modem Info Report/Call End Reason"^50049^-1
35^"56,18"^"WDS/Modem Info Report/TX Bytes"^50054^-1
35^"56,19"^"WDS/Modem Info Report/RX Bytes"^50055^-1
35^"56,20"^"WDS/Modem Info Report/Dormancy Status"^50042^-1
35^"56,21"^"WDS/Modem Info Report/Technology"^50020^-1
35^"56,22"^"WDS/Modem Info Report/Rates"^50019^-1
36^"1,16"^"DMS/Set Event Report Request/Power State"^50100^-1
36^"1,17"^"DMS/Set Event Report Request/Battery Level"^50101^-1
36^"1,18"^"DMS/Set Event Report Request/PIN Status"^50133^-1
36^"1,19"^"DMS/Set Event Report Request/Activation State"^50111^-1
36^"1,20"^"DMS/Set Event Report Request/Operating Mode"^50144^-1
36^"1,21"^"DMS/Set Event Report Request/UIM State"^50151^-1
36^"1,22"^"DMS/Set Event Report Request/Wireless Disable State"^50166^-1
36^"39,1"^"DMS/UIM Set PIN Protection Request/Info"^50127^-1
36^"40,1"^"DMS/UIM Verify PIN Request/Info"^50129^-1
36^"41,1"^"DMS/UIM Unblock PIN Request/Info"^50130^-1
36^"42,1"^"DMS/UIM Change PIN Request/Info"^50131^-1
36^"46,1"^"DMS/Set Operating Mode Request/Operating Mode"^50115^-1
36^"50,1"^"DMS/Activate Automatic Request/Activation Code"^50118^-1
36^"51,1"^"DMS/Activate Manual Request/Activation Data"^50119^-1
36^"51,16"^"DMS/Activate Manual Request/PRL (Obsolete)"^50120^-1
36^"51,17"^"DMS/Activate Manual Request/MN-HA Key"^50121^-1
36^"51,18"^"DMS/Activate Manual Request/MN-AAA Key"^50122^-1
36^"51,19"^"DMS/Activate Manual Request/PRL"^50135^-1
36^"53,1"^"DMS/Set Lock State Request/Lock State"^50124^-1
36^"54,1"^"DMS/Set Lock Code Request/Lock Code"^50125^-1
36^"56,1"^"DMS/Write User Data Request/User Data"^50126^-1
36^"58,1"^"DMS/Reset Factory Defaults Request/SPC"^50134^-1
36^"59,1"^"DMS/Validate SPC Request/SPC"^50070^-1
36^"62,1"^"DMS/UIM Set Firmware ID Request/ID"^50141^-1
36^"64,1"^"DMS/UIM Get Control Key Status Request/Facility"^50145^-1
36^"65,1"^"DMS/UIM Set Control Key Protection Request/Facility"^50147^-1
36^"66,1"^"DMS/UIM Unblock Control Key Request/Facility"^50149^-1
36^"72,1"^"DMS/Set Firmware Preference Request/Image List"^50155^-1
36^"72,16"^"DMS/Set Firmware Preference Request/Override"^50157^-1
36^"72,17"^"DMS/Set Firmware Preference Request/Index"^50158^-1
36^"74,1"^"DMS/Delete Stored Firmware Request/Image"^50156^-1
36^"75,1"^"DMS/Set Device Time Request/Time"^50170^-1
36^"75,16"^"DMS/Set Device Time Request/Type"^50171^-1
36^"76,1"^"DMS/Get Stored Firmware Info Request/Image"^50156^-1
36^"78,1"^"DMS/Set Alternate Net Config Request/Config"^50169^-1
36^"80,1"^"DMS/Set Image Download Mode Request/Mode"^50175^-1
37^"0,2"^"DMS/Reset Response/Result Code"^50000^-1
37^"1,2"^"DMS/Set Event Report Response/Result Code"^50000^-1
37^"32,1"^"DMS/Get Device Capabilities Response/Capabilities"^50103^-1
37^"32,2"^"DMS/Get Device Capabilities Response/Result Code"^50000^-1
37^"33,1"^"DMS/Get Device Manfacturer Response/Manfacturer"^50104^-1
37^"33,2"^"DMS/Get Device Manfacturer Response/Result Code"^50000^-1
37^"34,1"^"DMS/Get Device Model Response/Model"^50105^-1
37^"34,2"^"DMS/Get Device Model Response/Result Code"^50000^-1
37^"35,1"^"DMS/Get Device Revision Response/Revision"^50106^-1
37^"35,2"^"DMS/Get Device Revision Response/Result Code"^50000^-1
37^"35,16"^"DMS/Get Device Revision Response/Boot Code Revision"^50136^-1
37^"35,17"^"DMS/Get Device Revision Response/UQCN Revision"^50136^-1
37^"36,1"^"DMS/Get Device Voice Number Response/Voice Number"^50107^-1
37^"36,2"^"DMS/Get Device Voice Number Response/Result Code"^50000^-1
37^"36,16"^"DMS/Get Device Voice Number Response/Mobile ID Number"^50113^-1
37^"36,17"^"DMS/Get Device Voice Number Response/IMSI"^50138^-1
37^"37,2"^"DMS/Get Device Serial Numbers Response/Result Code"^50000^-1
37^"37,16"^"DMS/Get Device Serial Numbers Response/ESN"^50108^-1
37^"37,17"^"DMS/Get Device Serial Numbers Response/IMEI"^50109^-1
37^"37,18"^"DMS/Get Device Serial Numbers Response/MEID"^50110^-1
37^"38,1"^"DMS/Get Power State Response/Power State"^50102^-1
37^"38,2"^"DMS/Get Power State Response/Result Code"^50000^-1
37^"39,2"^"DMS/UIM Set PIN Protection Response/Result Code"^50000^-1
37^"39,16"^"DMS/UIM Set PIN Protection Response/Retry Info"^50128^-1
37^"40,2"^"DMS/UIM Verify PIN Response/Result Code"^50000^-1
37^"40,16"^"DMS/UIM Verify PIN Response/Retry Info"^50128^-1
37^"41,2"^"DMS/UIM Unblock PIN Response/Result Code"^50000^-1
37^"41,16"^"DMS/UIM Unblock PIN Response/Retry Info"^50128^-1
37^"42,2"^"DMS/UIM Change PIN Response/Result Code"^50000^-1
37^"42,16"^"DMS/UIM Change PIN Response/Retry Info"^50128^-1
37^"43,2"^"DMS/UIM Get PIN Status Response/Result Code"^50000^-1
37^"43,17"^"DMS/UIM Get PIN Status Response/PIN1 Status"^50132^-1
37^"43,18"^"DMS/UIM Get PIN Status Response/PIN2 Status"^50132^-1
37^"44,1"^"DMS/Get Hardware Revision Response/Hardware Revision"^50114^-1
37^"44,2"^"DMS/Get Hardware Revision Response/Result Code"^50000^-1
37^"45,1"^"DMS/Get Operating Mode Response/Operating Mode"^50115^-1
37^"45,2"^"DMS/Get Operating Mode Response/Result Code"^50000^-1
37^"45,16"^"DMS/Get Operating Mode Response/Offline Reason"^50139^-1
37^"45,17"^"DMS/Get Operating Mode Response/Platform Restricted"^50143^-1
37^"46,2"^"DMS/Set Operating Mode Response/Result Code"^50000^-1
37^"47,1"^"DMS/Get Timestamp Response/Timestamp"^50116^-1
37^"47,2"^"DMS/Get Timestamp Response/Result Code"^50000^-1
37^"48,1"^"DMS/Get PRL Version Response/PRL Version"^50117^-1
37^"48,2"^"DMS/Get PRL Version Response/Result Code"^50000^-1
37^"49,1"^"DMS/Get Activation State Response/Activation State"^50112^-1
37^"49,2"^"DMS/Get Activation State Response/Result Code"^50000^-1
37^"50,2"^"DMS/Activate Automatic Response/Result Code"^50000^-1
37^"51,2"^"DMS/Activate Manual Response/Result Code"^50000^-1
37^"52,1"^"DMS/Get Lock State Response/Lock State"^50123^-1
37^"52,2"^"DMS/Get Lock State Response/Result Code"^50000^-1
37^"53,2"^"DMS/Set Lock State Response/Result Code"^50000^-1
37^"54,2"^"DMS/Set Lock Code Response/Result Code"^50000^-1
37^"55,1"^"DMS/Read User Data Response/User Data"^50126^-1
37^"55,2"^"DMS/Read User Data Response/Result Code"^50000^-1
37^"56,2"^"DMS/Write User Data Response/Result Code"^50000^-1
37^"57,1"^"DMS/Read ERI Data Response/User Data"^50126^-1
37^"57,2"^"DMS/Read ERI Data Response/Result Code"^50000^-1
37^"58,2"^"DMS/Reset Factory Defaults Response/Result Code"^50000^-1
37^"59,2"^"DMS/Validate SPC Response/Result Code"^50000^-1
37^"60,1"^"DMS/UIM Get ICCID Response/ICCID"^50140^-1
37^"60,2"^"DMS/UIM Get ICCID Response/Result Code"^50000^-1
37^"61,1"^"DMS/UIM Get Firmware ID Response/ID"^50141^-1
37^"61,2"^"DMS/UIM Get Firmware ID Response/Result Code"^50000^-1
37^"62,2"^"DMS/UIM Set Firmware ID Response/Result Code"^50000^-1
37^"63,1"^"DMS/UIM Get Host Lock ID Response/ID"^50142^-1
37^"63,2"^"DMS/UIM Get Host Lock ID Response/Result Code"^50000^-1
37^"64,1"^"DMS/UIM Get Control Key Status Response/Status"^50146^-1
37^"64,2"^"DMS/UIM Get Control Key Status Response/Result Code"^50000^-1
37^"64,16"^"DMS/UIM Get Control Key Status Response/Blocking"^50153^-1
37^"65,2"^"DMS/UIM Set Control Key Protection Response/Result Code"^50000^-1
37^"65,16"^"DMS/UIM Set Control Key Protection Response/Status"^50148^-1
37^"66,2"^"DMS/UIM Unblock Control Key Response/Result Code"^50000^-1
37^"66,16"^"DMS/UIM Unblock Control Key Response/Status"^50150^-1
37^"67,1"^"DMS/Get IMSI Response/IMSI"^50138^-1
37^"67,2"^"DMS/Get IMSI Response/Result Code"^50000^-1
37^"68,1"^"DMS/Get UIM State Response/State"^50152^-1
37^"68,2"^"DMS/Get UIM State Response/Result Code"^50000^-1
37^"69,1"^"DMS/Get Band Capabilities Response/Bands"^50165^-1
37^"69,2"^"DMS/Get Band Capabilities Response/Result Code"^50000^-1
37^"70,1"^"DMS/Get Factory Serial Number Response/ID"^50168^-1^0
37^"70,2"^"DMS/Get Factory Serial Number Response/Result Code"^50000^-1^0
37^"71,1"^"DMS/Get Firmware Preference Response/Image List"^50155^-1
37^"71,2"^"DMS/Get Firmware Preference Response/Result Code"^50000^-1
37^"72,1"^"DMS/Set Firmware Preference Response/Image List"^50159^-1
37^"72,2"^"DMS/Set Firmware Preference Response/Result Code"^50000^-1
37^"72,16"^"DMS/Set Firmware Preference Response/Maximum"^50160^-1
37^"73,1"^"DMS/List Stored Firmware Response/Image List"^50161^-1
37^"73,2"^"DMS/List Stored Firmware Response/Result Code"^50000^-1
37^"74,2"^"DMS/Delete Stored Firmware Response/Result Code"^50000^-1
37^"75,2"^"DMS/Set Device Time Response/Result Code"^50000^-1
37^"76,2"^"DMS/Get Stored Firmware Info Response/Result Code"^50000^-1
37^"76,16"^"DMS/Get Stored Firmware Info Response/Boot Version"^50172^-1
37^"76,17"^"DMS/Get Stored Firmware Info Response/PRI Version"^50173^-1
37^"76,18"^"DMS/Get Stored Firmware Info Response/OEM Lock ID"^50174^-1
37^"77,1"^"DMS/Get Alternate Net Config Response/Config"^50169^-1
37^"77,2"^"DMS/Get Alternate Net Config Response/Result Code"^50000^-1
37^"78,2"^"DMS/Set Alternate Net Config Response/Result Code"^50000^-1
37^"79,2"^"DMS/Get Image Download Mode Response/Result Code"^50000^-1
37^"79,16"^"DMS/Get Image Download Mode Response/Mode"^50175^-1
37^"80,2"^"DMS/Set Image Download Mode Response/Result Code"^50000^-1
38^"1,16"^"DMS/Event Report/Power State"^50102^-1
38^"1,17"^"DMS/Event Report/PIN1 State"^50132^-1
38^"1,18"^"DMS/Event Report/PIN2 State"^50132^-1
38^"1,19"^"DMS/Event Report/Activation State"^50112^-1
38^"1,20"^"DMS/Event Report/Operating Mode"^50115^-1
38^"1,21"^"DMS/Event Report/UIM State"^50152^-1
38^"1,22"^"DMS/Event Report/Wireless Disable State"^50167^-1
39^"1,1"^"NAS/Abort Request/Transaction ID"^50001^-1
39^"2,16"^"NAS/Set Event Report Request/Signal Indicator"^50200^-1
39^"2,17"^"NAS/Set Event Report Request/RF Indicator"^50233^-1
39^"2,18"^"NAS/Set Event Report Request/Registration Reject Indicator"^50234^-1
39^"2,19"^"NAS/Set Event Report Request/RSSI Indicator"^50240^-1
39^"2,20"^"NAS/Set Event Report Request/ECIO Indicator"^50241^-1
39^"2,21"^"NAS/Set Event Report Request/IO Indicator"^50242^-1
39^"2,22"^"NAS/Set Event Report Request/SINR Indicator"^50243^-1
39^"2,23"^"NAS/Set Event Report Request/Error Rate Indicator"^50244^-1
39^"2,24"^"NAS/Set Event Report Request/RSRQ Indicator"^50277^-1
39^"3,16"^"NAS/Set Registration Event Report Request/System Select Indicator"^50250^-1
39^"3,18"^"NAS/Set Registration Event Report Request/DDTM Indicator"^50251^-1
39^"3,19"^"NAS/Set Registration Event Report Request/Serving System Indicator"^50252^-1
39^"32,16"^"NAS/Get Signal Strength Request/Request Mask"^50253^-1
39^"34,1"^"NAS/Initiate Network Register Request/Action"^50204^-1
39^"34,16"^"NAS/Initiate Network Register Request/Manual Info"^50205^-1
39^"34,17"^"NAS/Initiate Network Register Request/Change Duration"^50276^-1
39^"35,16"^"NAS/Initiate Attach Request/Action"^50206^-1
39^"39,16"^"NAS/Set Preferred Networks Request/Networks"^50210^-1
39^"41,16"^"NAS/Set Forbidden Networks Request/Networks"^50213^-1
39^"42,1"^"NAS/Set Technology Preference Request/Preference"^50216^-1
39^"45,1"^"NAS/Set ACCOLC Request/ACCOLC"^50219^-1
39^"48,16"^"NAS/Set Network Parameters Request/SPC"^50230^-1
39^"48,20"^"NAS/Set Network Parameters Request/CDMA 1xEV-DO Revision"^50228^-1
39^"48,21"^"NAS/Set Network Parameters Request/CDMA 1xEV-DO SCP Custom"^50229^-1
39^"48,22"^"NAS/Set Network Parameters Request/Roaming"^50231^-1
39^"51,16"^"NAS/Set System Selection Pref Request/Emergency Mode"^50263^-1
39^"51,17"^"NAS/Set System Selection Pref Request/Mode"^50264^-1
39^"51,18"^"NAS/Set System Selection Pref Request/Band"^50265^-1
39^"51,19"^"NAS/Set System Selection Pref Request/PRL"^50266^-1
39^"51,20"^"NAS/Set System Selection Pref Request/Roaming"^50267^-1
39^"55,1"^"NAS/Set DDTM Preference Request/DDTM"^50268^-1
39^"68,1"^"NAS/Get PLMN Name Request/PLMN"^50214^-1
40^"0,2"^"NAS/Reset Response/Result Code"^50000^-1
40^"1,2"^"NAS/Abort Response/Result Code"^50000^-1
40^"2,2"^"NAS/Set Event Report Response/Result Code"^50000^-1
40^"3,2"^"NAS/Set Registration Event Report Response/Result Code"^50000^-1
40^"32,1"^"NAS/Get Signal Strength Response/Signal Strength"^50201^-1
40^"32,2"^"NAS/Get Signal Strength Response/Result Code"^50000^-1
40^"32,16"^"NAS/Get Signal Strength Response/Signal Strength List"^50220^-1
40^"32,17"^"NAS/Get Signal Strength Response/RSSI List"^50254^-1
40^"32,18"^"NAS/Get Signal Strength Response/ECIO List"^50255^-1
40^"32,19"^"NAS/Get Signal Strength Response/IO"^50247^-1
40^"32,20"^"NAS/Get Signal Strength Response/SINR"^50248^-1
40^"32,21"^"NAS/Get Signal Strength Response/Error Rate List"^50256^-1
40^"33,2"^"NAS/Perform Network Scan Response/Result Code"^50000^-1
40^"33,16"^"NAS/Perform Network Scan Response/Network Info"^50202^-1
40^"33,17"^"NAS/Perform Network Scan Response/Network RAT"^50270^-1
40^"34,2"^"NAS/Initiate Network Register Response/Result Code"^50000^-1
40^"35,2"^"NAS/Initiate Attach Response/Result Code"^50000^-1
40^"36,1"^"NAS/Get Serving System Response/Serving System"^50207^-1
40^"36,2"^"NAS/Get Serving System Response/Result Code"^50000^-1
40^"36,16"^"NAS/Get Serving System Response/Roaming Indicator"^50208^-1
40^"36,17"^"NAS/Get Serving System Response/Data Services"^50223^-1
40^"36,18"^"NAS/Get Serving System Response/Current PLMN"^50209^-1
40^"36,19"^"NAS/Get Serving System Response/System ID"^50215^-1
40^"36,20"^"NAS/Get Serving System Response/Base Station"^50257^-1
40^"36,21"^"NAS/Get Serving System Response/Roaming List"^50258^-1
40^"36,22"^"NAS/Get Serving System Response/Default Roaming"^50260^-1
40^"36,23"^"NAS/Get Serving System Response/Time Zone"^50261^-1
40^"36,24"^"NAS/Get Serving System Response/Protocol Revision"^50262^-1
40^"37,1"^"NAS/Get Home Network Response/Home Network"^50209^-1
40^"37,2"^"NAS/Get Home Network Response/Result Code"^50000^-1
40^"37,16"^"NAS/Get Home Network Response/Home IDs"^50215^-1
40^"37,17"^"NAS/Get Home Network Response/Extended Home Network"^50269^-1
40^"38,2"^"NAS/Get Preferred Networks Response/Result Code"^50000^-1
40^"38,16"^"NAS/Get Preferred Networks Response/Networks"^50210^-1
40^"38,17"^"NAS/Get Preferred Networks Response/Static Networks"^50210^-1
40^"39,2"^"NAS/Set Preferred Networks Response/Result Code"^50000^-1
40^"40,2"^"NAS/Get Forbidden Networks Response/Result Code"^50000^-1
40^"40,16"^"NAS/Get Forbidden Networks Response/Networks"^50213^-1
40^"41,2"^"NAS/Set Forbidden Networks Response/Result Code"^50000^-1
40^"42,2"^"NAS/Set Technology Preference Response/Result Code"^50000^-1
40^"43,1"^"NAS/Get Technology Preference Response/Active Preference"^50216^-1
40^"43,2"^"NAS/Get Technology Preference Response/Result Code"^50000^-1
40^"43,16"^"NAS/Get Technology Preference Response/Persistent Preference"^50217^-1
40^"44,1"^"NAS/Get ACCOLC Response/ACCOLC"^50218^-1
40^"44,2"^"NAS/Get ACCOLC Response/Result Code"^50000^-1
40^"45,2"^"NAS/Set ACCOLC Response/Result Code"^50000^-1
40^"46,1"^"NAS/Get System Preference/Pref"^50224^-1
40^"46,2"^"NAS/Get System Preference/Result Code"^50000^-1
40^"47,2"^"NAS/Get Network Parameters Response/Result Code"^50000^-1
40^"47,17"^"NAS/Get Network Parameters Response/SCI"^50225^-1
40^"47,18"^"NAS/Get Network Parameters Response/SCM"^50226^-1
40^"47,19"^"NAS/Get Network Parameters Response/Registration"^50227^-1
40^"47,20"^"NAS/Get Network Parameters Response/CDMA 1xEV-DO Revision"^50228^-1
40^"47,21"^"NAS/Get Network Parameters Response/CDMA 1xEV-DO SCP Custom"^50229^-1
40^"47,22"^"NAS/Get Network Parameters Response/Roaming"^50231^-1
40^"48,2"^"NAS/Set Network Parameters Response/Result Code"^50000^-1
40^"49,1"^"NAS/Get RF Info Response/RF Info"^50235^-1
40^"49,2"^"NAS/Get RF Info Response/Result Code"^50000^-1
40^"50,1"^"NAS/Get AN-AAA Authentication Status Response/Status"^50237^-1
40^"50,2"^"NAS/Get AN-AAA Authentication Status Response/Result Code"^50000^-1
40^"51,2"^"NAS/Set System Selection Pref Response/Result Code"^50000^-1
40^"52,2"^"NAS/Get System Selection Pref Response/Result Code"^50000^-1
40^"52,16"^"NAS/Get System Selection Pref Response/Emergency Mode"^50263^-1
40^"52,17"^"NAS/Get System Selection Pref Response/Mode"^50264^-1
40^"52,18"^"NAS/Get System Selection Pref Response/Band"^50265^-1
40^"52,19"^"NAS/Get System Selection Pref Response/PRL"^50266^-1
40^"52,20"^"NAS/Get System Selection Pref Response/Roaming"^50267^-1
40^"55,2"^"NAS/Set DDTM Preference Response/Result Code"^50000^-1
40^"56,1"^"NAS/Get DDTM Preference Response/DDTM"^50268^-1
40^"56,2"^"NAS/Get DDTM Preference Response/Result Code"^50000^-1
40^"59,2"^"NAS/Get CSP PLMN Mode Response/Result Code"^50000^-1
40^"59,16"^"NAS/Get CSP PLMN Mode Response/Mode"^50273^-1
40^"68,2"^"NAS/Get PLMN Name Response/Result Code"^50000^-1
40^"68,16"^"NAS/Get PLMN Name Response/Name"^50274^-1
41^"2,16"^"NAS/Event Report/Signal Strength"^50201^-1
41^"2,17"^"NAS/Event Report/RF Info"^50235^-1
41^"2,18"^"NAS/Event Report/Registration Reject"^50236^-1
41^"2,19"^"NAS/Event Report/RSSI"^50245^-1
41^"2,20"^"NAS/Event Report/ECIO"^50246^-1
41^"2,21"^"NAS/Event Report/IO"^50247^-1
41^"2,22"^"NAS/Event Report/SINR"^50248^-1
41^"2,23"^"NAS/Event Report/Error Rate"^50249^-1
41^"2,24"^"NAS/Event Report/RSRQ"^50275^-1
41^"36,1"^"NAS/Serving System Indication/Serving System"^50207^-1
41^"36,16"^"NAS/Serving System Indication/Roaming Indicator"^50208^-1
41^"36,17"^"NAS/Serving System Indication/Data Services"^50223^-1
41^"36,18"^"NAS/Serving System Indication/Current PLMN"^50209^-1
41^"36,19"^"NAS/Serving System Indication/System ID"^50215^-1
41^"36,20"^"NAS/Serving System Indication/Base Station"^50257^-1
41^"36,21"^"NAS/Serving System Indication/Roaming List"^50258^-1
41^"36,22"^"NAS/Serving System Indication/Default Roaming"^50260^-1
41^"36,23"^"NAS/Serving System Indication/Time Zone"^50261^-1
41^"36,24"^"NAS/Serving System Indication/Protocol Revision"^50262^-1
41^"36,25"^"NAS/Serving System Indication/PLMN Change"^50272^-1
41^"52,16"^"NAS/System Selection Pref Indication/Emergency Mode"^50263^-1
41^"52,17"^"NAS/System Selection Pref Indication/Mode"^50264^-1
41^"52,18"^"NAS/System Selection Pref Indication/Band"^50265^-1
41^"52,19"^"NAS/System Selection Pref Indication/PRL"^50266^-1
41^"52,20"^"NAS/System Selection Pref Indication/Roaming"^50267^-1
41^"56,1"^"NAS/DDTM Preference Indication/DDTM"^50268^-1
41^"60,16"^"NAS/CSP PLMN Mode Indication/Mode"^50273^-1
45^"1,16"^"WMS/Set Event Report Request/New MT Message Indicator"^50300^-1
45^"32,1"^"WMS/Raw Send Request/Message Data"^50302^-1
45^"32,16"^"WMS/Raw Send Request/Force On DC"^50321^-1
45^"32,17"^"WMS/Raw Send Request/Follow On DC"^50322^-1
45^"32,18"^"WMS/Raw Send Request/Link Control"^50323^-1
45^"33,1"^"WMS/Raw Write Request/Message Data"^50304^-1
45^"34,1"^"WMS/Raw Read Request/Message Index"^50301^-1
45^"34,16"^"WMS/Raw Read Request/Message Mode"^50310^-1
45^"35,1"^"WMS/Modify Tag Request/Message Tag"^50307^-1
45^"35,16"^"WMS/Modify Tag Request/Message Mode"^50310^-1
45^"36,1"^"WMS/Delete Request/Memory Storage"^50308^-1
45^"36,16"^"WMS/Delete Request/Message Index"^50305^-1
45^"36,17"^"WMS/Delete Request/Message Tag"^50309^-1
45^"36,18"^"WMS/Delete Request/Message Mode"^50310^-1
45^"49,1"^"WMS/List Messages Request/Memory Storage"^50308^-1
45^"49,16"^"WMS/List Messages Request/Message Tag"^50309^-1
45^"49,17"^"WMS/List Messages Request/Message Mode"^50310^-1
45^"50,1"^"WMS/Set Routes Request/Route List"^50313^-1
45^"50,16"^"WMS/Set Routes Request/Transfer Status Report"^50326^-1
45^"53,1"^"WMS/Set SMSC Address Request/Address"^50319^-1
45^"53,16"^"WMS/Set SMSC Address Request/Address Type"^50318^-1
45^"54,1"^"WMS/Get Storage Max Size Request/Memory Storage"^50308^-1
45^"54,16"^"WMS/Get Storage Max Size Request/Message Mode"^50310^-1
45^"55,1"^"WMS/Send ACK Request/ACK"^50329^-1
45^"55,16"^"WMS/Send ACK Request/3GPP2 Failure Info"^50330^-1
45^"55,17"^"WMS/Send ACK Request/3GPP Failure Info"^50331^-1
45^"56,1"^"WMS/Set Retry Period Request/Period"^50332^-1
45^"57,1"^"WMS/Set Retry Interval Request/Interval"^50333^-1
45^"58,1"^"WMS/Set DC Disconnect Timer Request/Timer"^50334^-1
45^"59,1"^"WMS/Set Memory Status Request/Status"^50335^-1
45^"60,1"^"WMS/Set Broadcast Activation Request/BC Info"^50336^-1
45^"61,1"^"WMS/Set Broadcast Config Request/Mode"^50310^-1
45^"61,16"^"WMS/Set Broadcast Config Request/3GPP Info"^50337^-1
45^"61,17"^"WMS/Set Broadcast Config Request/3GPP2 Info"^50339^-1
45^"62,1"^"WMS/Get Broadcast Config Request/Mode"^50310^-1
45^"65,1"^"WMS/Set Domain Preference Request/Pref"^50344^-1
45^"66,1"^"WMS/Send From Memory Store Request/Info"^50345^-1
46^"0,2"^"WMS/Reset Response/Result Code"^50000^-1
46^"1,2"^"WMS/Set Event Report Response/Result Code"^50000^-1
46^"32,2"^"WMS/Raw Send Response/Result Code"^50000^-1
46^"32,16"^"WMS/Raw Send Response/Cause Code"^50303^-1
46^"32,17"^"WMS/Raw Send Response/Error Class"^50324^-1
46^"32,18"^"WMS/Raw Send Response/Cause Info"^50325^-1
46^"33,1"^"WMS/Raw Write Response/Message Index"^50305^-1
46^"33,2"^"WMS/Raw Write Response/Result Code"^50000^-1
46^"34,1"^"WMS/Raw Read Response/Message Data"^50306^-1
46^"34,2"^"WMS/Raw Read Response/Result Code"^50000^-1
46^"35,2"^"WMS/Modify Tag Response/Result Code"^50000^-1
46^"36,2"^"WMS/Delete Response/Result Code"^50000^-1
46^"48,1"^"WMS/Get Message Protocol Response/Message Protocol"^50310^-1
46^"48,2"^"WMS/Get Message Protocol Response/Result Code"^50000^-1
46^"49,1"^"WMS/List Messages Response/Message List"^50311^-1
46^"49,2"^"WMS/List Messages Response/Result Code"^50000^-1
46^"50,2"^"WMS/Set Routes Response/Result Code"^50000^-1
46^"51,1"^"WMS/Get Routes Response/Route List"^50315^-1
46^"51,16"^"WMS/Get Routes Response/Transfer Status Report"^50326^-1
46^"51,2"^"WMS/Get Routes Response/Result Code"^50000^-1
46^"52,1"^"WMS/Get SMSC Address Response/Address"^50317^-1
46^"52,2"^"WMS/Get SMSC Address Response/Result Code"^50000^-1
46^"54,1"^"WMS/Get Storage Max Size Response/Max Size"^50327^-1
46^"54,2"^"WMS/Get Storage Max Size Response/Result Code"^50000^-1
46^"54,16"^"WMS/Get Storage Max Size Response/Available Size"^50328^-1
46^"55,2"^"WMS/Send ACK Response/Result Code"^50000^-1
46^"56,2"^"WMS/Set Retry Period Response/Result Code"^50000^-1
46^"57,2"^"WMS/Set Retry Interval Response/Result Code"^50000^-1
46^"58,2"^"WMS/Set DC Disconnect Timer Response/Result Code"^50000^-1
46^"59,2"^"WMS/Set Memory Status Response/Result Code"^50000^-1
46^"60,2"^"WMS/Set Broadcast Activation Response/Result Code"^50000^-1
46^"61,2"^"WMS/Set Broadcast Config Response/Result Code"^50000^-1
46^"62,2"^"WMS/Get Broadcast Config Response/Result Code"^50000^-1
46^"62,16"^"WMS/Get Broadcast Config Response/3GPP Info"^50341^-1
46^"62,17"^"WMS/Get Broadcast Config Response/3GPP2 Info"^50342^-1
46^"64,1"^"WMS/Get Domain Preference Response/Pref"^50344^-1
46^"64,2"^"WMS/Get Domain Preference Response/Result Code"^50000^-1
46^"65,2"^"WMS/Set Domain Preference Response/Result Code"^50000^-1
46^"66,2"^"WMS/Send From Memory Store Response/Result Code"^50000^-1
46^"66,16"^"WMS/Send From Memory Store Response/Message ID"^50346^-1
46^"66,17"^"WMS/Send From Memory Store Response/Cause Code"^50303^-1
46^"66,18"^"WMS/Send From Memory Store Response/Error Class"^50324^-1
46^"66,19"^"WMS/Send From Memory Store Response/Cause Info"^50325^-1
47^"1,16"^"WMS/Event Report/Received MT Message"^50301^-1
47^"1,17"^"WMS/Event Report/Transfer Route MT Message"^50320^-1
47^"1,18"^"WMS/Event Report/Message Mode"^50310^-1
47^"63,1"^"WMS/Memory Full Indication/Info"^50343^-1
47^"70,1"^"WMS/SMSC Address Indication/Address"^50317^-1
48^"1,16"^"PDS/Set Event Report Request/NMEA Indicator"^50400^-1
48^"1,17"^"PDS/Set Event Report Request/Mode Indicator"^50416^-1
48^"1,18"^"PDS/Set Event Report Request/Raw Indicator"^50420^-1
48^"1,19"^"PDS/Set Event Report Request/XTRA Request Indicator"^50421^-1
